City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,dakhla,23.6848,-15.958,20.1,93,0,7.15,EH,1691549484
339,les cayes,18.2,-73.75,27.38,85,11,1.4,HT,1691549484
340,fuglafjordur,62.244,-6.814,8.26,86,98,13.66,FO,1691549484
341,pakala,13.4667,79.1167,27.23,57,100,5.3,IN,1691549485
342,strathaven,55.6771,-4.0668,10.26,91,84,3.34,GB,1691549485
343,pisco,-13.7,-76.2167,19.03,82,0,4.12,PE,1691549206
344,malvan,16.0667,73.4667,26.93,80,98,2.43,IN,1691549243
345,oum hadjer,13.2954,19.6966,22.86,91,100,4.47,TD,1691549486
346,margate,51.3813,1.3862,14.27,92,100,2.24,GB,1691549182
347,karratha,-20.7377,116.8463,27.5,26,0,4.33,AU,1691549111
348,escanaba,45.7453,-87.0646,18.98,100,0,0.0,US,1691549488
349,susuman,62.7833,148.1667,9.71,53,100,1.16,RU,1691549182
350,argostolion,38.1811,20.489,22.08,67,0,1.75,GR,1691549489
351,konstantinovka,49.6167,127.9833,22.95,66,93,3.48,RU,1691549489
352,cockburn town,21.4612,-71.1419,28.81,85,5,7.34,TC,1691549115
353,hilo,19.7297,-155.09,28.85,69,75,4.63,US,1691549212
354,sal rei,16.1833,-22.9167,24.84,74,100,5.4,CV,1691549490
355,floro,61.5996,5.0328,11.09,93,100,8.75,NO,1691549491
356,fort bragg,35.139,-79.006,27.75,70,40,2.57,US,1691549130
357,crane,31.3974,-102.3501,31.9,32,51,5.68,US,1691549126
358,roxas,11.5853,122.7511,31.75,64,96,1.24,PH,1691549492
359,sholokhovskiy,48.2807,41.0459,22.45,61,1,2.39,RU,1691549492
360,revda,56.801,59.9303,16.63,90,1,2.05,RU,1691549493
361,ulsteinvik,62.3432,5.8487,14.31,85,100,5.81,NO,1691549493
362,la passe,45.5549,-0.8967,14.43,63,1,2.94,FR,1691549188
363,villa maria grande,-31.6656,-59.9018,11.54,67,100,2.01,AR,1691549494
